Category: All categories

Month,Betty Williams: (Worldwide)
2004-01,0
2004-02,0
2004-03,98
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,50
2005-08,0
2005-09,0
2005-10,40
2005-11,0
2005-12,0
2006-01,0
2006-02,36
2006-03,42
2006-04,0
2006-05,26
2006-06,0
2006-07,100
2006-08,0
2006-09,26
2006-10,25
2006-11,40
2006-12,0
2007-01,56
2007-02,81
2007-03,57
2007-04,56
2007-05,60
2007-06,36
2007-07,74
2007-08,34
2007-09,42
2007-10,32
2007-11,29
2007-12,19
2008-01,33
2008-02,23
2008-03,27
2008-04,18
2008-05,25
2008-06,22
2008-07,21
2008-08,12
2008-09,14
2008-10,17
2008-11,29
2008-12,14
2009-01,19
2009-02,17
2009-03,22
2009-04,22
2009-05,19
2009-06,21
2009-07,24
2009-08,9
2009-09,21
2009-10,26
2009-11,29
2009-12,19
2010-01,25
2010-02,29
2010-03,29
2010-04,20
2010-05,19
2010-06,19
2010-07,12
2010-08,0
2010-09,25
2010-10,21
2010-11,21
2010-12,78
2011-01,22
2011-02,15
2011-03,21
2011-04,16
2011-05,17
2011-06,9
2011-07,14
2011-08,9
2011-09,12
2011-10,31
2011-11,18
2011-12,13
2012-01,21
2012-02,17
2012-03,17
2012-04,25
2012-05,14
2012-06,19
2012-07,12
2012-08,10
2012-09,10
2012-10,11
2012-11,12
2012-12,9
2013-01,12
2013-02,12
2013-03,17
2013-04,11
2013-05,10
2013-06,11
2013-07,6
2013-08,7
2013-09,9
2013-10,12
2013-11,10
2013-12,10
2014-01,11
2014-02,11
2014-03,10
2014-04,8
2014-05,9
2014-06,6
2014-07,9
2014-08,10
2014-09,10
2014-10,13
2014-11,12
2014-12,15
2015-01,7
2015-02,12
2015-03,10
2015-04,9
2015-05,12
2015-06,9
2015-07,8
2015-08,8
2015-09,7
2015-10,9
2015-11,10
2015-12,33
2016-01,31
2016-02,16
2016-03,25
2016-04,9
2016-05,14
2016-06,6
2016-07,15
2016-08,11
2016-09,14
2016-10,9
2016-11,42
2016-12,12
2017-01,21
2017-02,10
2017-03,15
2017-04,11
2017-05,7
2017-06,12
2017-07,6
2017-08,6
2017-09,11
2017-10,11
2017-11,9
2017-12,11
2018-01,10
2018-02,26
2018-03,12
2018-04,9
2018-05,7
2018-06,7
2018-07,7
2018-08,8
2018-09,7
2018-10,11
2018-11,8
2018-12,10
2019-01,11
2019-02,8
2019-03,10
2019-04,10
2019-05,9
2019-06,8
2019-07,4
2019-08,7
2019-09,8
2019-10,8
2019-11,8
2019-12,4
2020-01,11
2020-02,8
2020-03,23
2020-04,11
2020-05,10
2020-06,8
2020-07,7
2020-08,7
2020-09,7
2020-10,5
2020-11,5
2020-12,7
2021-01,6
2021-02,13
2021-03,7
2021-04,4
2021-05,19
2021-06,5
2021-07,3
2021-08,4
2021-09,4
2021-10,6
2021-11,6
2021-12,6
2022-01,9
2022-02,7
2022-03,14
2022-04,7
2022-05,7
2022-06,6
2022-07,5
2022-08,9
2022-09,5
2022-10,5
2022-11,7
2022-12,4
2023-01,5
2023-02,5
2023-03,36
2023-04,8
2023-05,9
2023-06,4
2023-07,5
2023-08,7
2023-09,5
2023-10,7
2023-11,4
2023-12,4
2024-01,4
2024-02,5
2024-03,6
2024-04,5
2024-05,5
2024-06,5
