Category: All categories

Month,Carol Channing: (Worldwide)
2004-01,5
2004-02,0
2004-03,6
2004-04,6
2004-05,3
2004-06,10
2004-07,6
2004-08,6
2004-09,4
2004-10,7
2004-11,6
2004-12,7
2005-01,5
2005-02,8
2005-03,6
2005-04,5
2005-05,6
2005-06,3
2005-07,4
2005-08,5
2005-09,4
2005-10,6
2005-11,3
2005-12,5
2006-01,7
2006-02,6
2006-03,6
2006-04,8
2006-05,5
2006-06,5
2006-07,6
2006-08,6
2006-09,4
2006-10,5
2006-11,5
2006-12,7
2007-01,5
2007-02,5
2007-03,4
2007-04,5
2007-05,5
2007-06,5
2007-07,4
2007-08,5
2007-09,9
2007-10,6
2007-11,6
2007-12,6
2008-01,8
2008-02,6
2008-03,5
2008-04,4
2008-05,4
2008-06,6
2008-07,5
2008-08,5
2008-09,5
2008-10,4
2008-11,5
2008-12,5
2009-01,4
2009-02,4
2009-03,4
2009-04,4
2009-05,5
2009-06,4
2009-07,13
2009-08,7
2009-09,4
2009-10,3
2009-11,3
2009-12,3
2010-01,4
2010-02,9
2010-03,6
2010-04,5
2010-05,4
2010-06,5
2010-07,19
2010-08,7
2010-09,4
2010-10,5
2010-11,4
2010-12,15
2011-01,5
2011-02,6
2011-03,5
2011-04,5
2011-05,5
2011-06,3
2011-07,6
2011-08,6
2011-09,5
2011-10,4
2011-11,5
2011-12,8
2012-01,7
2012-02,6
2012-03,4
2012-04,4
2012-05,4
2012-06,5
2012-07,12
2012-08,8
2012-09,6
2012-10,5
2012-11,6
2012-12,5
2013-01,6
2013-02,5
2013-03,6
2013-04,6
2013-05,5
2013-06,5
2013-07,6
2013-08,5
2013-09,5
2013-10,5
2013-11,5
2013-12,7
2014-01,7
2014-02,6
2014-03,5
2014-04,5
2014-05,4
2014-06,4
2014-07,5
2014-08,5
2014-09,8
2014-10,6
2014-11,5
2014-12,5
2015-01,5
2015-02,5
2015-03,4
2015-04,5
2015-05,4
2015-06,5
2015-07,5
2015-08,5
2015-09,4
2015-10,5
2015-11,4
2015-12,5
2016-01,5
2016-02,4
2016-03,3
2016-04,5
2016-05,4
2016-06,4
2016-07,3
2016-08,3
2016-09,4
2016-10,3
2016-11,3
2016-12,5
2017-01,6
2017-02,4
2017-03,4
2017-04,5
2017-05,7
2017-06,5
2017-07,5
2017-08,5
2017-09,5
2017-10,4
2017-11,3
2017-12,5
2018-01,5
2018-02,5
2018-03,4
2018-04,5
2018-05,4
2018-06,5
2018-07,4
2018-08,4
2018-09,3
2018-10,3
2018-11,4
2018-12,4
2019-01,100
2019-02,8
2019-03,5
2019-04,4
2019-05,4
2019-06,4
2019-07,5
2019-08,4
2019-09,5
2019-10,4
2019-11,4
2019-12,6
2020-01,5
2020-02,8
2020-03,4
2020-04,4
2020-05,4
2020-06,3
2020-07,4
2020-08,3
2020-09,3
2020-10,2
2020-11,3
2020-12,3
2021-01,4
2021-02,4
2021-03,4
2021-04,3
2021-05,3
2021-06,3
2021-07,6
2021-08,3
2021-09,3
2021-10,3
2021-11,3
2021-12,3
2022-01,4
2022-02,4
2022-03,3
2022-04,4
2022-05,4
2022-06,3
2022-07,11
2022-08,8
2022-09,4
2022-10,4
2022-11,4
2022-12,3
2023-01,3
2023-02,3
2023-03,3
2023-04,3
2023-05,2
2023-06,2
2023-07,3
2023-08,2
2023-09,2
2023-10,2
2023-11,2
2023-12,3
2024-01,3
2024-02,4
2024-03,5
2024-04,3
