Category: All categories

Month,Chuck Berry: (Worldwide)
2004-01,9
2004-02,10
2004-03,8
2004-04,8
2004-05,8
2004-06,8
2004-07,8
2004-08,7
2004-09,6
2004-10,8
2004-11,7
2004-12,8
2005-01,8
2005-02,8
2005-03,8
2005-04,9
2005-05,8
2005-06,7
2005-07,6
2005-08,6
2005-09,6
2005-10,7
2005-11,6
2005-12,6
2006-01,6
2006-02,7
2006-03,6
2006-04,7
2006-05,6
2006-06,7
2006-07,7
2006-08,5
2006-09,6
2006-10,7
2006-11,6
2006-12,7
2007-01,8
2007-02,7
2007-03,6
2007-04,5
2007-05,6
2007-06,5
2007-07,6
2007-08,5
2007-09,5
2007-10,5
2007-11,7
2007-12,6
2008-01,6
2008-02,7
2008-03,7
2008-04,6
2008-05,7
2008-06,7
2008-07,6
2008-08,5
2008-09,6
2008-10,6
2008-11,7
2008-12,8
2009-01,5
2009-02,6
2009-03,6
2009-04,6
2009-05,6
2009-06,5
2009-07,5
2009-08,6
2009-09,6
2009-10,6
2009-11,6
2009-12,6
2010-01,6
2010-02,6
2010-03,6
2010-04,6
2010-05,6
2010-06,5
2010-07,7
2010-08,6
2010-09,6
2010-10,6
2010-11,6
2010-12,6
2011-01,8
2011-02,6
2011-03,5
2011-04,6
2011-05,5
2011-06,5
2011-07,5
2011-08,6
2011-09,4
2011-10,6
2011-11,5
2011-12,5
2012-01,5
2012-02,5
2012-03,4
2012-04,5
2012-05,5
2012-06,4
2012-07,5
2012-08,4
2012-09,5
2012-10,5
2012-11,5
2012-12,5
2013-01,5
2013-02,5
2013-03,5
2013-04,6
2013-05,5
2013-06,4
2013-07,4
2013-08,4
2013-09,4
2013-10,5
2013-11,4
2013-12,5
2014-01,4
2014-02,5
2014-03,4
2014-04,4
2014-05,4
2014-06,4
2014-07,4
2014-08,4
2014-09,4
2014-10,4
2014-11,4
2014-12,4
2015-01,3
2015-02,4
2015-03,4
2015-04,3
2015-05,4
2015-06,4
2015-07,4
2015-08,4
2015-09,3
2015-10,5
2015-11,4
2015-12,4
2016-01,4
2016-02,4
2016-03,3
2016-04,4
2016-05,4
2016-06,3
2016-07,3
2016-08,3
2016-09,3
2016-10,8
2016-11,3
2016-12,4
2017-01,4
2017-02,4
2017-03,100
2017-04,11
2017-05,6
2017-06,5
2017-07,4
2017-08,4
2017-09,4
2017-10,4
2017-11,3
2017-12,5
2018-01,4
2018-02,4
2018-03,4
2018-04,3
2018-05,4
2018-06,3
2018-07,3
2018-08,3
2018-09,4
2018-10,3
2018-11,4
2018-12,4
2019-01,3
2019-02,3
2019-03,4
2019-04,5
2019-05,4
2019-06,3
2019-07,3
2019-08,3
2019-09,3
2019-10,3
2019-11,3
2019-12,4
2020-01,4
2020-02,4
2020-03,4
2020-04,5
2020-05,6
2020-06,4
2020-07,3
2020-08,3
2020-09,3
2020-10,3
2020-11,3
2020-12,4
2021-01,4
2021-02,4
2021-03,3
2021-04,3
2021-05,3
2021-06,3
2021-07,3
2021-08,3
2021-09,3
2021-10,3
2021-11,3
2021-12,4
2022-01,3
2022-02,4
2022-03,3
2022-04,3
2022-05,3
2022-06,3
2022-07,3
2022-08,3
2022-09,3
2022-10,3
2022-11,3
2022-12,4
2023-01,3
2023-02,3
2023-03,3
2023-04,3
2023-05,3
2023-06,2
2023-07,3
2023-08,2
2023-09,2
2023-10,3
2023-11,2
2023-12,4
2024-01,2
2024-02,3
2024-03,2
2024-04,3
