Category: All categories

Month,Elie Wiesel: (Worldwide)
2004-01,40
2004-02,47
2004-03,55
2004-04,63
2004-05,54
2004-06,29
2004-07,18
2004-08,18
2004-09,31
2004-10,40
2004-11,43
2004-12,36
2005-01,45
2005-02,47
2005-03,41
2005-04,49
2005-05,41
2005-06,29
2005-07,17
2005-08,18
2005-09,30
2005-10,28
2005-11,36
2005-12,35
2006-01,54
2006-02,51
2006-03,45
2006-04,45
2006-05,56
2006-06,29
2006-07,18
2006-08,19
2006-09,30
2006-10,34
2006-11,34
2006-12,32
2007-01,31
2007-02,38
2007-03,33
2007-04,35
2007-05,35
2007-06,20
2007-07,14
2007-08,16
2007-09,21
2007-10,28
2007-11,25
2007-12,23
2008-01,27
2008-02,27
2008-03,28
2008-04,36
2008-05,31
2008-06,15
2008-07,11
2008-08,12
2008-09,21
2008-10,22
2008-11,23
2008-12,26
2009-01,25
2009-02,27
2009-03,32
2009-04,30
2009-05,30
2009-06,22
2009-07,10
2009-08,12
2009-09,18
2009-10,22
2009-11,23
2009-12,24
2010-01,27
2010-02,26
2010-03,29
2010-04,31
2010-05,28
2010-06,16
2010-07,10
2010-08,12
2010-09,16
2010-10,19
2010-11,21
2010-12,20
2011-01,21
2011-02,24
2011-03,22
2011-04,22
2011-05,26
2011-06,15
2011-07,9
2011-08,12
2011-09,16
2011-10,19
2011-11,20
2011-12,19
2012-01,21
2012-02,21
2012-03,23
2012-04,24
2012-05,22
2012-06,15
2012-07,10
2012-08,12
2012-09,16
2012-10,18
2012-11,18
2012-12,19
2013-01,21
2013-02,22
2013-03,22
2013-04,25
2013-05,26
2013-06,13
2013-07,9
2013-08,12
2013-09,16
2013-10,17
2013-11,18
2013-12,18
2014-01,19
2014-02,21
2014-03,23
2014-04,23
2014-05,26
2014-06,12
2014-07,9
2014-08,13
2014-09,15
2014-10,17
2014-11,18
2014-12,18
2015-01,20
2015-02,21
2015-03,28
2015-04,24
2015-05,23
2015-06,11
2015-07,8
2015-08,10
2015-09,14
2015-10,17
2015-11,18
2015-12,18
2016-01,20
2016-02,24
2016-03,23
2016-04,25
2016-05,24
2016-06,10
2016-07,100
2016-08,13
2016-09,15
2016-10,16
2016-11,20
2016-12,22
2017-01,23
2017-02,22
2017-03,25
2017-04,23
2017-05,26
2017-06,11
2017-07,10
2017-08,12
2017-09,12
2017-10,16
2017-11,17
2017-12,16
2018-01,18
2018-02,23
2018-03,22
2018-04,24
2018-05,25
2018-06,10
2018-07,7
2018-08,10
2018-09,13
2018-10,15
2018-11,17
2018-12,16
2019-01,19
2019-02,21
2019-03,23
2019-04,22
2019-05,22
2019-06,9
2019-07,9
2019-08,8
2019-09,11
2019-10,13
2019-11,14
2019-12,13
2020-01,17
2020-02,19
2020-03,17
2020-04,20
2020-05,18
2020-06,9
2020-07,6
2020-08,7
2020-09,11
2020-10,10
2020-11,9
2020-12,11
2021-01,12
2021-02,11
2021-03,12
2021-04,13
2021-05,11
2021-06,7
2021-07,4
2021-08,5
2021-09,7
2021-10,9
2021-11,9
2021-12,8
2022-01,11
2022-02,13
2022-03,17
2022-04,21
2022-05,19
2022-06,7
2022-07,4
2022-08,6
2022-09,9
2022-10,11
2022-11,15
2022-12,13
2023-01,16
2023-02,19
2023-03,19
2023-04,16
2023-05,17
2023-06,7
2023-07,4
2023-08,6
2023-09,8
2023-10,12
2023-11,15
2023-12,11
2024-01,13
2024-02,17
2024-03,16
2024-04,15
2024-05,14
2024-06,7
