Category: All categories

Month,Frederik Willem de Klerk: (Worldwide)
2004-01,16
2004-02,14
2004-03,16
2004-04,19
2004-05,30
2004-06,13
2004-07,8
2004-08,9
2004-09,9
2004-10,18
2004-11,10
2004-12,7
2005-01,14
2005-02,12
2005-03,10
2005-04,13
2005-05,19
2005-06,11
2005-07,0
2005-08,11
2005-09,6
2005-10,12
2005-11,13
2005-12,9
2006-01,10
2006-02,9
2006-03,15
2006-04,10
2006-05,12
2006-06,11
2006-07,6
2006-08,8
2006-09,7
2006-10,8
2006-11,14
2006-12,9
2007-01,8
2007-02,10
2007-03,8
2007-04,9
2007-05,11
2007-06,6
2007-07,5
2007-08,8
2007-09,7
2007-10,11
2007-11,7
2007-12,6
2008-01,7
2008-02,8
2008-03,8
2008-04,9
2008-05,9
2008-06,7
2008-07,8
2008-08,6
2008-09,6
2008-10,7
2008-11,7
2008-12,7
2009-01,6
2009-02,8
2009-03,10
2009-04,8
2009-05,10
2009-06,7
2009-07,6
2009-08,6
2009-09,6
2009-10,9
2009-11,8
2009-12,6
2010-01,7
2010-02,15
2010-03,7
2010-04,9
2010-05,9
2010-06,15
2010-07,8
2010-08,7
2010-09,5
2010-10,6
2010-11,6
2010-12,6
2011-01,6
2011-02,8
2011-03,7
2011-04,7
2011-05,8
2011-06,5
2011-07,4
2011-08,5
2011-09,5
2011-10,6
2011-11,5
2011-12,5
2012-01,5
2012-02,7
2012-03,6
2012-04,7
2012-05,13
2012-06,5
2012-07,5
2012-08,4
2012-09,5
2012-10,5
2012-11,5
2012-12,5
2013-01,5
2013-02,6
2013-03,6
2013-04,12
2013-05,7
2013-06,11
2013-07,9
2013-08,7
2013-09,6
2013-10,6
2013-11,5
2013-12,71
2014-01,10
2014-02,9
2014-03,8
2014-04,8
2014-05,9
2014-06,5
2014-07,5
2014-08,7
2014-09,7
2014-10,6
2014-11,6
2014-12,6
2015-01,8
2015-02,8
2015-03,6
2015-04,7
2015-05,7
2015-06,6
2015-07,4
2015-08,6
2015-09,6
2015-10,5
2015-11,5
2015-12,5
2016-01,6
2016-02,7
2016-03,5
2016-04,6
2016-05,7
2016-06,4
2016-07,3
2016-08,6
2016-09,5
2016-10,4
2016-11,7
2016-12,5
2017-01,5
2017-02,7
2017-03,6
2017-04,6
2017-05,9
2017-06,6
2017-07,5
2017-08,7
2017-09,6
2017-10,5
2017-11,6
2017-12,5
2018-01,6
2018-02,8
2018-03,7
2018-04,8
2018-05,9
2018-06,7
2018-07,6
2018-08,6
2018-09,6
2018-10,7
2018-11,5
2018-12,5
2019-01,6
2019-02,7
2019-03,6
2019-04,8
2019-05,9
2019-06,5
2019-07,5
2019-08,6
2019-09,7
2019-10,36
2019-11,36
2019-12,7
2020-01,7
2020-02,27
2020-03,9
2020-04,7
2020-05,7
2020-06,7
2020-07,5
2020-08,5
2020-09,6
2020-10,11
2020-11,5
2020-12,4
2021-01,8
2021-02,10
2021-03,8
2021-04,6
2021-05,5
2021-06,11
2021-07,7
2021-08,4
2021-09,7
2021-10,4
2021-11,100
2021-12,13
2022-01,7
2022-02,6
2022-03,6
2022-04,7
2022-05,8
2022-06,6
2022-07,6
2022-08,7
2022-09,5
2022-10,5
2022-11,6
2022-12,4
2023-01,5
2023-02,6
2023-03,5
2023-04,5
2023-05,6
2023-06,4
2023-07,3
2023-08,6
2023-09,6
2023-10,8
2023-11,5
2023-12,3
2024-01,4
2024-02,5
2024-03,5
2024-04,4
