Category: All categories

Month,Jiang Zemin: (Worldwide)
2004-01,15
2004-02,18
2004-03,17
2004-04,18
2004-05,18
2004-06,17
2004-07,15
2004-08,16
2004-09,30
2004-10,14
2004-11,13
2004-12,12
2005-01,9
2005-02,17
2005-03,19
2005-04,11
2005-05,9
2005-06,8
2005-07,10
2005-08,11
2005-09,8
2005-10,8
2005-11,8
2005-12,7
2006-01,6
2006-02,6
2006-03,6
2006-04,6
2006-05,5
2006-06,6
2006-07,5
2006-08,13
2006-09,19
2006-10,16
2006-11,12
2006-12,10
2007-01,7
2007-02,6
2007-03,6
2007-04,6
2007-05,5
2007-06,7
2007-07,5
2007-08,6
2007-09,5
2007-10,9
2007-11,5
2007-12,5
2008-01,4
2008-02,4
2008-03,6
2008-04,6
2008-05,8
2008-06,6
2008-07,5
2008-08,8
2008-09,5
2008-10,5
2008-11,5
2008-12,5
2009-01,4
2009-02,4
2009-03,5
2009-04,5
2009-05,5
2009-06,7
2009-07,6
2009-08,5
2009-09,5
2009-10,10
2009-11,5
2009-12,5
2010-01,9
2010-02,4
2010-03,13
2010-04,6
2010-05,6
2010-06,4
2010-07,3
2010-08,3
2010-09,3
2010-10,8
2010-11,3
2010-12,3
2011-01,3
2011-02,2
2011-03,2
2011-04,3
2011-05,3
2011-06,3
2011-07,100
2011-08,8
2011-09,5
2011-10,6
2011-11,3
2011-12,3
2012-01,2
2012-02,3
2012-03,5
2012-04,6
2012-05,4
2012-06,4
2012-07,3
2012-08,3
2012-09,3
2012-10,3
2012-11,4
2012-12,2
2013-01,2
2013-02,2
2013-03,3
2013-04,2
2013-05,2
2013-06,2
2013-07,2
2013-08,2
2013-09,2
2013-10,2
2013-11,2
2013-12,2
2014-01,3
2014-02,4
2014-03,5
2014-04,5
2014-05,4
2014-06,3
2014-07,7
2014-08,9
2014-09,7
2014-10,4
2014-11,3
2014-12,4
2015-01,3
2015-02,3
2015-03,4
2015-04,4
2015-05,3
2015-06,3
2015-07,4
2015-08,10
2015-09,7
2015-10,3
2015-11,3
2015-12,3
2016-01,3
2016-02,3
2016-03,3
2016-04,3
2016-05,3
2016-06,5
2016-07,4
2016-08,3
2016-09,3
2016-10,2
2016-11,2
2016-12,2
2017-01,2
2017-02,2
2017-03,2
2017-04,2
2017-05,7
2017-06,3
2017-07,3
2017-08,3
2017-09,3
2017-10,4
2017-11,2
2017-12,2
2018-01,2
2018-02,2
2018-03,3
2018-04,2
2018-05,2
2018-06,1
2018-07,2
2018-08,3
2018-09,2
2018-10,2
2018-11,2
2018-12,2
2019-01,1
2019-02,2
2019-03,2
2019-04,1
2019-05,1
2019-06,2
2019-07,2
2019-08,2
2019-09,1
2019-10,3
2019-11,1
2019-12,1
2020-01,1
2020-02,1
2020-03,1
2020-04,1
2020-05,1
2020-06,1
2020-07,1
2020-08,1
2020-09,1
2020-10,1
2020-11,1
2020-12,1
2021-01,1
2021-02,1
2021-03,1
2021-04,1
2021-05,1
2021-06,1
2021-07,1
2021-08,1
2021-09,1
2021-10,1
2021-11,1
2021-12,1
2022-01,1
2022-02,1
2022-03,1
2022-04,1
2022-05,1
2022-06,1
2022-07,1
2022-08,1
2022-09,2
2022-10,3
2022-11,14
2022-12,15
2023-01,1
2023-02,1
2023-03,1
2023-04,1
2023-05,1
2023-06,1
2023-07,1
2023-08,1
2023-09,1
2023-10,1
2023-11,1
2023-12,1
2024-01,1
2024-02,1
2024-03,1
2024-04,1
