Category: All categories

Month,John Forbes Nash Jr.: (Worldwide)
2004-01,31
2004-02,33
2004-03,43
2004-04,33
2004-05,46
2004-06,25
2004-07,23
2004-08,21
2004-09,20
2004-10,42
2004-11,29
2004-12,28
2005-01,25
2005-02,49
2005-03,28
2005-04,28
2005-05,20
2005-06,19
2005-07,15
2005-08,24
2005-09,29
2005-10,23
2005-11,19
2005-12,28
2006-01,19
2006-02,18
2006-03,28
2006-04,18
2006-05,22
2006-06,14
2006-07,16
2006-08,12
2006-09,15
2006-10,18
2006-11,19
2006-12,14
2007-01,12
2007-02,13
2007-03,16
2007-04,13
2007-05,13
2007-06,11
2007-07,10
2007-08,11
2007-09,10
2007-10,15
2007-11,15
2007-12,34
2008-01,13
2008-02,15
2008-03,15
2008-04,19
2008-05,13
2008-06,11
2008-07,12
2008-08,9
2008-09,11
2008-10,13
2008-11,20
2008-12,15
2009-01,14
2009-02,13
2009-03,18
2009-04,14
2009-05,12
2009-06,10
2009-07,11
2009-08,12
2009-09,10
2009-10,12
2009-11,13
2009-12,12
2010-01,17
2010-02,15
2010-03,15
2010-04,14
2010-05,18
2010-06,12
2010-07,10
2010-08,10
2010-09,14
2010-10,13
2010-11,13
2010-12,13
2011-01,14
2011-02,14
2011-03,12
2011-04,13
2011-05,15
2011-06,12
2011-07,12
2011-08,12
2011-09,12
2011-10,13
2011-11,12
2011-12,12
2012-01,11
2012-02,11
2012-03,13
2012-04,11
2012-05,11
2012-06,11
2012-07,11
2012-08,10
2012-09,11
2012-10,11
2012-11,12
2012-12,11
2013-01,12
2013-02,13
2013-03,10
2013-04,10
2013-05,9
2013-06,9
2013-07,9
2013-08,8
2013-09,9
2013-10,11
2013-11,10
2013-12,11
2014-01,14
2014-02,10
2014-03,9
2014-04,10
2014-05,14
2014-06,8
2014-07,9
2014-08,8
2014-09,8
2014-10,10
2014-11,9
2014-12,11
2015-01,10
2015-02,12
2015-03,10
2015-04,10
2015-05,100
2015-06,20
2015-07,10
2015-08,8
2015-09,8
2015-10,10
2015-11,11
2015-12,13
2016-01,9
2016-02,10
2016-03,9
2016-04,9
2016-05,9
2016-06,9
2016-07,8
2016-08,8
2016-09,8
2016-10,11
2016-11,13
2016-12,11
2017-01,11
2017-02,10
2017-03,11
2017-04,9
2017-05,11
2017-06,9
2017-07,9
2017-08,8
2017-09,10
2017-10,13
2017-11,11
2017-12,11
2018-01,13
2018-02,10
2018-03,12
2018-04,11
2018-05,12
2018-06,9
2018-07,10
2018-08,9
2018-09,14
2018-10,11
2018-11,14
2018-12,13
2019-01,8
2019-02,9
2019-03,8
2019-04,9
2019-05,9
2019-06,8
2019-07,7
2019-08,7
2019-09,11
2019-10,8
2019-11,9
2019-12,9
2020-01,7
2020-02,7
2020-03,9
2020-04,10
2020-05,9
2020-06,7
2020-07,6
2020-08,7
2020-09,9
2020-10,10
2020-11,9
2020-12,8
2021-01,8
2021-02,8
2021-03,7
2021-04,8
2021-05,7
2021-06,6
2021-07,5
2021-08,5
2021-09,5
2021-10,7
2021-11,7
2021-12,7
2022-01,7
2022-02,7
2022-03,7
2022-04,10
2022-05,9
2022-06,7
2022-07,6
2022-08,6
2022-09,6
2022-10,6
2022-11,6
2022-12,7
2023-01,6
2023-02,5
2023-03,6
2023-04,7
2023-05,7
2023-06,6
2023-07,5
2023-08,6
2023-09,5
2023-10,8
2023-11,7
2023-12,7
2024-01,5
2024-02,6
2024-03,8
2024-04,6
2024-05,7
2024-06,6
