Category: All categories

Month,Mikhail Gorbachev: (Worldwide)
2004-01,13
2004-02,12
2004-03,13
2004-04,16
2004-05,20
2004-06,23
2004-07,8
2004-08,8
2004-09,10
2004-10,13
2004-11,12
2004-12,11
2005-01,12
2005-02,12
2005-03,12
2005-04,17
2005-05,17
2005-06,10
2005-07,6
2005-08,7
2005-09,8
2005-10,10
2005-11,11
2005-12,10
2006-01,9
2006-02,9
2006-03,12
2006-04,12
2006-05,14
2006-06,9
2006-07,5
2006-08,6
2006-09,8
2006-10,9
2006-11,9
2006-12,8
2007-01,9
2007-02,9
2007-03,9
2007-04,15
2007-05,12
2007-06,11
2007-07,7
2007-08,7
2007-09,8
2007-10,9
2007-11,12
2007-12,8
2008-01,7
2008-02,8
2008-03,8
2008-04,11
2008-05,11
2008-06,8
2008-07,5
2008-08,8
2008-09,7
2008-10,8
2008-11,8
2008-12,8
2009-01,8
2009-02,7
2009-03,10
2009-04,9
2009-05,12
2009-06,9
2009-07,6
2009-08,5
2009-09,7
2009-10,10
2009-11,15
2009-12,8
2010-01,7
2010-02,8
2010-03,9
2010-04,10
2010-05,11
2010-06,8
2010-07,4
2010-08,6
2010-09,6
2010-10,8
2010-11,8
2010-12,7
2011-01,7
2011-02,10
2011-03,13
2011-04,11
2011-05,10
2011-06,8
2011-07,6
2011-08,9
2011-09,7
2011-10,8
2011-11,9
2011-12,11
2012-01,7
2012-02,8
2012-03,9
2012-04,8
2012-05,12
2012-06,8
2012-07,7
2012-08,7
2012-09,7
2012-10,7
2012-11,7
2012-12,8
2013-01,7
2013-02,7
2013-03,10
2013-04,16
2013-05,13
2013-06,8
2013-07,6
2013-08,8
2013-09,7
2013-10,7
2013-11,7
2013-12,10
2014-01,9
2014-02,10
2014-03,13
2014-04,11
2014-05,11
2014-06,7
2014-07,6
2014-08,6
2014-09,7
2014-10,8
2014-11,16
2014-12,9
2015-01,9
2015-02,9
2015-03,9
2015-04,10
2015-05,11
2015-06,7
2015-07,5
2015-08,6
2015-09,6
2015-10,7
2015-11,9
2015-12,8
2016-01,7
2016-02,8
2016-03,11
2016-04,11
2016-05,12
2016-06,7
2016-07,5
2016-08,5
2016-09,6
2016-10,7
2016-11,10
2016-12,11
2017-01,12
2017-02,9
2017-03,10
2017-04,12
2017-05,12
2017-06,9
2017-07,7
2017-08,6
2017-09,7
2017-10,8
2017-11,8
2017-12,8
2018-01,8
2018-02,8
2018-03,12
2018-04,12
2018-05,13
2018-06,9
2018-07,7
2018-08,6
2018-09,7
2018-10,10
2018-11,9
2018-12,11
2019-01,9
2019-02,10
2019-03,10
2019-04,13
2019-05,21
2019-06,27
2019-07,12
2019-08,10
2019-09,10
2019-10,11
2019-11,16
2019-12,12
2020-01,11
2020-02,10
2020-03,13
2020-04,14
2020-05,14
2020-06,11
2020-07,9
2020-08,10
2020-09,11
2020-10,10
2020-11,10
2020-12,12
2021-01,11
2021-02,13
2021-03,17
2021-04,14
2021-05,12
2021-06,10
2021-07,7
2021-08,14
2021-09,8
2021-10,8
2021-11,9
2021-12,13
2022-01,12
2022-02,35
2022-03,45
2022-04,21
2022-05,18
2022-06,12
2022-07,13
2022-08,100
2022-09,60
2022-10,11
2022-11,10
2022-12,10
2023-01,10
2023-02,11
2023-03,11
2023-04,12
2023-05,12
2023-06,10
2023-07,7
2023-08,8
2023-09,7
2023-10,8
2023-11,9
2023-12,9
2024-01,9
2024-02,12
2024-03,14
2024-04,11
