Category: All categories

Month,Nadine Gordimer: (Worldwide)
2004-01,59
2004-02,53
2004-03,47
2004-04,41
2004-05,47
2004-06,34
2004-07,17
2004-08,17
2004-09,37
2004-10,44
2004-11,88
2004-12,47
2005-01,49
2005-02,89
2005-03,39
2005-04,41
2005-05,35
2005-06,40
2005-07,12
2005-08,22
2005-09,35
2005-10,27
2005-11,33
2005-12,30
2006-01,25
2006-02,29
2006-03,35
2006-04,30
2006-05,28
2006-06,19
2006-07,34
2006-08,17
2006-09,25
2006-10,37
2006-11,38
2006-12,29
2007-01,24
2007-02,25
2007-03,23
2007-04,26
2007-05,33
2007-06,21
2007-07,16
2007-08,17
2007-09,21
2007-10,24
2007-11,18
2007-12,18
2008-01,18
2008-02,17
2008-03,24
2008-04,32
2008-05,21
2008-06,17
2008-07,14
2008-08,12
2008-09,24
2008-10,18
2008-11,23
2008-12,16
2009-01,32
2009-02,20
2009-03,22
2009-04,17
2009-05,14
2009-06,13
2009-07,13
2009-08,15
2009-09,17
2009-10,16
2009-11,20
2009-12,13
2010-01,12
2010-02,17
2010-03,15
2010-04,17
2010-05,16
2010-06,16
2010-07,11
2010-08,11
2010-09,16
2010-10,15
2010-11,15
2010-12,11
2011-01,18
2011-02,14
2011-03,16
2011-04,17
2011-05,17
2011-06,9
2011-07,10
2011-08,7
2011-09,11
2011-10,11
2011-11,13
2011-12,15
2012-01,10
2012-02,12
2012-03,16
2012-04,15
2012-05,10
2012-06,11
2012-07,10
2012-08,8
2012-09,16
2012-10,15
2012-11,15
2012-12,10
2013-01,11
2013-02,11
2013-03,10
2013-04,21
2013-05,36
2013-06,14
2013-07,10
2013-08,7
2013-09,11
2013-10,12
2013-11,14
2013-12,15
2014-01,11
2014-02,12
2014-03,12
2014-04,10
2014-05,11
2014-06,10
2014-07,100
2014-08,16
2014-09,16
2014-10,13
2014-11,13
2014-12,14
2015-01,9
2015-02,9
2015-03,11
2015-04,13
2015-05,10
2015-06,8
2015-07,6
2015-08,9
2015-09,12
2015-10,12
2015-11,18
2015-12,7
2016-01,11
2016-02,9
2016-03,10
2016-04,8
2016-05,10
2016-06,5
2016-07,6
2016-08,6
2016-09,13
2016-10,11
2016-11,10
2016-12,8
2017-01,10
2017-02,12
2017-03,10
2017-04,9
2017-05,9
2017-06,8
2017-07,4
2017-08,6
2017-09,11
2017-10,11
2017-11,11
2017-12,11
2018-01,9
2018-02,10
2018-03,9
2018-04,9
2018-05,8
2018-06,6
2018-07,6
2018-08,7
2018-09,10
2018-10,10
2018-11,10
2018-12,10
2019-01,10
2019-02,8
2019-03,9
2019-04,8
2019-05,8
2019-06,6
2019-07,6
2019-08,7
2019-09,11
2019-10,9
2019-11,9
2019-12,6
2020-01,6
2020-02,8
2020-03,9
2020-04,8
2020-05,9
2020-06,7
2020-07,5
2020-08,5
2020-09,11
2020-10,9
2020-11,8
2020-12,7
2021-01,9
2021-02,7
2021-03,6
2021-04,6
2021-05,7
2021-06,5
2021-07,6
2021-08,5
2021-09,9
2021-10,9
2021-11,9
2021-12,10
2022-01,8
2022-02,7
2022-03,9
2022-04,9
2022-05,7
2022-06,6
2022-07,6
2022-08,6
2022-09,8
2022-10,9
2022-11,9
2022-12,5
2023-01,7
2023-02,7
2023-03,7
2023-04,5
2023-05,6
2023-06,4
2023-07,5
2023-08,6
2023-09,7
2023-10,6
2023-11,7
2023-12,6
2024-01,6
2024-02,5
2024-03,6
2024-04,6
2024-05,6
2024-06,4
