Category: All categories

Month,Toni Morrison: (Worldwide)
2004-01,24
2004-02,33
2004-03,28
2004-04,28
2004-05,25
2004-06,15
2004-07,10
2004-08,10
2004-09,16
2004-10,18
2004-11,20
2004-12,18
2005-01,17
2005-02,24
2005-03,22
2005-04,24
2005-05,20
2005-06,10
2005-07,9
2005-08,8
2005-09,13
2005-10,13
2005-11,22
2005-12,17
2006-01,15
2006-02,18
2006-03,17
2006-04,18
2006-05,18
2006-06,10
2006-07,7
2006-08,9
2006-09,9
2006-10,11
2006-11,13
2006-12,10
2007-01,11
2007-02,14
2007-03,11
2007-04,13
2007-05,11
2007-06,8
2007-07,5
2007-08,7
2007-09,9
2007-10,9
2007-11,9
2007-12,8
2008-01,12
2008-02,13
2008-03,9
2008-04,12
2008-05,9
2008-06,6
2008-07,5
2008-08,5
2008-09,7
2008-10,10
2008-11,12
2008-12,10
2009-01,9
2009-02,10
2009-03,9
2009-04,11
2009-05,9
2009-06,6
2009-07,5
2009-08,5
2009-09,7
2009-10,8
2009-11,9
2009-12,7
2010-01,7
2010-02,9
2010-03,8
2010-04,8
2010-05,7
2010-06,4
2010-07,4
2010-08,4
2010-09,6
2010-10,6
2010-11,7
2010-12,5
2011-01,6
2011-02,8
2011-03,7
2011-04,9
2011-05,9
2011-06,5
2011-07,3
2011-08,4
2011-09,5
2011-10,5
2011-11,6
2011-12,5
2012-01,5
2012-02,6
2012-03,5
2012-04,7
2012-05,8
2012-06,5
2012-07,4
2012-08,4
2012-09,6
2012-10,6
2012-11,6
2012-12,6
2013-01,6
2013-02,7
2013-03,7
2013-04,7
2013-05,5
2013-06,4
2013-07,4
2013-08,5
2013-09,6
2013-10,5
2013-11,6
2013-12,8
2014-01,7
2014-02,8
2014-03,7
2014-04,7
2014-05,7
2014-06,5
2014-07,5
2014-08,5
2014-09,6
2014-10,5
2014-11,8
2014-12,8
2015-01,7
2015-02,8
2015-03,7
2015-04,9
2015-05,8
2015-06,5
2015-07,6
2015-08,6
2015-09,7
2015-10,6
2015-11,7
2015-12,7
2016-01,7
2016-02,7
2016-03,6
2016-04,6
2016-05,5
2016-06,4
2016-07,4
2016-08,4
2016-09,5
2016-10,6
2016-11,8
2016-12,7
2017-01,7
2017-02,8
2017-03,7
2017-04,7
2017-05,6
2017-06,4
2017-07,4
2017-08,6
2017-09,5
2017-10,6
2017-11,6
2017-12,6
2018-01,6
2018-02,6
2018-03,6
2018-04,6
2018-05,5
2018-06,4
2018-07,4
2018-08,4
2018-09,5
2018-10,5
2018-11,5
2018-12,5
2019-01,5
2019-02,7
2019-03,7
2019-04,6
2019-05,5
2019-06,4
2019-07,5
2019-08,100
2019-09,12
2019-10,9
2019-11,8
2019-12,8
2020-01,8
2020-02,9
2020-03,6
2020-04,7
2020-05,7
2020-06,15
2020-07,9
2020-08,7
2020-09,7
2020-10,7
2020-11,7
2020-12,5
2021-01,6
2021-02,8
2021-03,6
2021-04,5
2021-05,5
2021-06,4
2021-07,4
2021-08,4
2021-09,5
2021-10,6
2021-11,6
2021-12,5
2022-01,6
2022-02,8
2022-03,6
2022-04,6
2022-05,5
2022-06,4
2022-07,4
2022-08,4
2022-09,5
2022-10,5
2022-11,5
2022-12,5
2023-01,6
2023-02,8
2023-03,8
2023-04,5
2023-05,6
2023-06,5
2023-07,4
2023-08,5
2023-09,5
2023-10,5
2023-11,5
2023-12,5
2024-01,6
2024-02,8
2024-03,6
2024-04,7
2024-05,5
2024-06,4
